configuracion,faithfulness,context_precision,answer_relevancy,tiempo_promedio,promedio_metricas
config_muchos_chunks,1.0,0.22862554112554112,0.8470315621878122,32.56242477893829,0.691885701104451
config_alta_temperatura,1.0,0.22862554112554112,0.8404124000999,33.554344952106476,0.6896793137418138
config_media_temperatura,1.0,0.22862554112554112,0.8074780948218447,31.807067304849625,0.678701211982462
config_chunks_grandes,1.0,0.22862554112554112,0.7934099754412254,27.703262627124786,0.6740118388555888
config_chunks_pequeños,1.0,0.22862554112554112,0.7805644355644354,32.158678114414215,0.6697299922299922
config_baja_temperatura,1.0,0.22862554112554112,0.7628185859839085,30.70541301369667,0.6638147090364832
config_pocos_chunks,1.0,0.16044372294372294,0.7436819900529577,31.350068777799606,0.6347085709988936
